0 -31.16 -27.882 -25.697 -7.5287 -10.229 -19.734 -30.054 -28.152
1 -31.02 -27.218 -23.35 -8.9407 -9.1923 -17.992 -29.998 -27.659
2 -30.794 -25.438 -25.182 -3.7727 -9.5438 -20.646 -30.257 -27.359
3 -31.163 -27.588 -24.386 -7.303 -11.848 -20.75 -30.321 -25.956
4 -31.028 -26.716 -24.673 -27.947 -10.228 -21.166 -4.6472 -28.12
5 -36.036 -27.714 -24.786 -5.1984 -6.3905 -10.712 -30.032 -28.216
6 -30.474 -28.071 -22.862 -1.6223 -11.116 -18.158 -30.122 -27.671
7 -30.65 -27.237 -25.006 0.68277 -10.529 -21.777 -30.107 -29.327
8 -31.039 -26.867 -23.21 -8.674 -10.033 -19.853 -30.248 -27.636
9 -31.191 -27.147 -24.851 -7.5344 -10.183 -19.95 -29.962 -27.961
