0 -1.9226 7.4331 0.72556 4.249 -6.743
1 -2.0123 7.4572 0.26063 3.8195 -6.1454
2 -1.6888 6.8613 -2.6533 5.9791 -4.8503
3 -1.9638 7.135 -2.2531 7.087 -4.6206
4 -2.0662 7.3554 0.88453 5.1852 -5.4771
5 -2.1165 6.2967 -1.5537 6.6155 -5.1447
6 -1.8917 7.0387 1.0007 6.125 -5.6168
7 -1.9277 6.3964 0.92681 3.0771 -6.396
8 -2.452 6.2405 0.59734 4.2512 -6.6091
9 -1.9008 7.8273 -1.2793 5.4206 -5.2339
10 -1.9357 7.5693 1.8811 3.3398 -6.8167
11 -2.7107 6.2605 -1.8224 5.4686 -5.1198
12 -1.9745 7.7687 -0.69125 6.0202 -4.7547
13 -2.0657 8.3342 0.63454 4.0808 -6.4723
14 -1.7865 6.4863 -1.4659 5.9904 -5.0773
15 -2.1332 5.183 0.042205 4.4523 -5.0677
16 -1.9865 6.0083 0.88178 5.6977 -5.375
17 -1.7608 7.4932 -1.8758 6.9786 -5.5993
18 -1.7257 5.9392 -2.7261 4.6889 -5.3003
19 -1.6411 6.3927 -1.1107 6.1613 -5.6714
