0	32.3166	26.7657	5.7604	27.0751	-28.1656	-25.3065	17.8029	-2.1794	15.8228	-2.4863	-27.7163	7.126	6.8168	-9.126	8.1881
1	26.6202	19.4068	10.6762	19.6018	-23.2513	-5.9092	3.0941	-3.5469	-5.6725	11.1301	4.6606	8.2676	15.4051	-2.9212	7.7076
2	34.863	22.8789	13.57	32.8463	-22.1333	-0.8279	18.6484	-7.8341	2.3783	9.9845	-3.9331	-10.9773	32.3441	0.2892	24.8941
3	26.5594	23.0819	18.1336	26.138	7.4799	-23.7417	25.9254	-0.9769	-27.4438	-8.063	-22.9844	20.5251	4.1126	-6.5847	11.4493
4	35.2298	36.6096	7.8559	24.219	-7.8945	-14.5182	8.0891	-0.5529	-18.5613	24.5097	-13.0784	-3.2998	-36.5594	-3.1013	9.5306
5	30.52	20.3049	2.5471	29.7951	-18.0771	-9.3798	18.1061	-0.9331	22.844	-2.7099	-21.1918	11.8254	21.8721	-11.5368	16.0003
6	24.8205	26.7542	8.4672	20.5732	-12.6505	-8.9879	12.7197	6.3183	-9.0593	4.1364	5.7128	8.0309	7.373	-4.3968	12.5851
7	36.5862	29.7497	8.8345	30.7295	-31.0472	-5.0551	15.7178	0.0193	-30.7362	11.4286	5.3211	-11.0762	-33.3635	2.7665	32.5368
8	33.4404	32.8648	-1.7027	41.2192	-19.5823	-11.6433	13.9498	-1.8863	0.099	-10.0585	-8.8749	-3.16	7.5927	-17.922	13.4484
9	22.393	22.2292	8.6145	20.1281	-11.7971	-7.3457	16.3623	8.5971	-11.386	0.106	1.1694	8.7587	-0.7704	2.5165	10.6747
