0 -7.6038e+00 -7.1913e+00 -3.5956e+00 -9.3088e+00 -7.4314e+00 -8.6424e+00 1.9113e+01 1.8904e+01 1.4508e+01 1.8443e+01 1.8418e+01 1.4551e+01
1 -9.3530e+00 -6.7522e+00 -9.4110e+00 -7.8423e+00 -9.5240e+00 -9.6685e+00 1.8010e+01 1.6760e+01 1.6451e+01 1.7304e+01 1.5869e+01 1.8672e+01
2 -5.0862e+00 -8.0117e+00 -6.9640e+00 -9.7219e+00 -9.4659e+00 -9.2265e+00 1.7398e+01 1.8258e+01 1.0991e+01 1.8125e+01 1.8652e+01 1.2450e+01
3 -6.6198e+00 -4.1578e+00 -9.6607e+00 -8.0593e+00 -6.9294e+00 -9.3139e+00 1.7122e+01 1.6051e+01 1.8979e+01 1.4798e+01 1.6603e+01 1.0777e+01
4 -9.3331e+00 -8.5128e+00 -8.6917e+00 -7.2110e+00 -9.3787e+00 -9.1688e+00 1.9267e+01 1.7371e+01 1.3309e+01 8.7896e+00 1.6126e+01 1.4562e+01
5 -7.6325e+00 -7.7623e+00 -7.7869e+00 -9.5512e+00 -9.2165e+00 -6.7363e+00 1.8749e+01 1.7929e+01 1.5172e+01 1.7104e+01 1.7556e+01 1.4885e+01
6 -7.8856e+00 -8.7066e+00 -9.2370e+00 -8.0523e+00 -9.2621e+00 -9.7290e+00 1.8828e+01 1.7290e+01 1.3318e+01 1.6366e+01 1.7579e+01 1.3635e+01
7 -8.7377e+00 -6.8407e+00 -7.8761e+00 -9.6709e+00 -9.1311e+00 -9.5501e+00 1.6671e+01 1.7129e+01 1.5590e+01 1.5921e+01 1.8067e+01 1.9008e+01
8 -4.2166e+00 -9.4084e+00 -6.6383e+00 -8.5739e+00 -8.7705e+00 -1.6548e+00 1.9439e+01 1.8730e+01 1.8275e+01 1.7904e+01 1.6471e+01 1.8452e+01
9 -9.5603e+00 -3.0263e+00 -9.2621e+00 -6.3012e+00 -7.8728e+00 -9.7501e+00 1.2652e+01 1.9241e+01 1.2407e+01 8.9319e+00 1.3206e+01 1.3596e+01
10 -7.4711e+00 -6.7063e+00 -9.7526e+00 -7.7242e+00 -9.0998e+00 -8.1050e+00 1.8468e+01 1.8958e+01 1.5693e+01 1.7551e+01 1.8507e+01 1.7096e+01
11 -6.5758e+00 -9.7451e+00 -7.4793e+00 -9.7507e+00 -9.0279e+00 -6.8027e+00 1.9168e+01 1.8597e+01 1.4814e+01 1.1720e+01 1.5576e+01 1.6872e+01
12 -9.1539e+00 -8.4941e+00 -9.1043e+00 -7.9548e+00 -8.0509e+00 -8.0656e+00 1.7797e+01 9.4110e+00 1.2222e+01 1.8140e+01 1.6240e+01 1.7587e+01
13 -4.9793e+00 -9.1718e+00 -7.8273e+00 -8.9643e+00 -9.6874e+00 -6.8643e+00 1.5749e+01 1.7270e+01 1.7562e+01 1.1681e+01 1.5254e+01 1.9099e+01
14 -4.4558e+00 -6.2066e+00 -7.3551e+00 -6.8458e+00 -8.0661e+00 -9.2784e+00 1.5511e+01 1.9212e+01 1.5703e+01 1.7106e+01 1.2601e+01 1.6088e+01
15 -3.9564e+00 -8.0412e+00 -6.3429e+00 -9.7517e+00 -9.7359e+00 -9.7428e+00 1.9209e+01 1.8254e+01 1.6073e+01 1.6591e+01 1.5407e+01 1.8415e+01
16 -6.1852e+00 -8.9034e+00 -7.3316e+00 -9.5601e+00 -8.7546e+00 -9.5346e+00 1.5608e+01 1.7227e+01 1.6600e+01 1.4578e+01 1.4735e+01 1.6754e+01
17 -7.8932e+00 -7.4906e+00 -8.0529e+00 -9.7066e+00 -8.9798e+00 -8.2891e+00 1.8949e+01 1.8427e+01 1.4397e+01 1.7139e+01 1.7870e+01 1.4893e+01
18 -8.5512e+00 -9.7455e+00 -9.7137e+00 -9.7040e+00 -8.4066e+00 -7.2468e+00 1.7029e+01 1.5218e+01 9.6364e+00 1.6276e+01 1.5111e+01 1.6708e+01
19 -2.5007e+00 -8.4370e+00 -9.2664e+00 -8.8966e+00 -9.2602e+00 -8.0981e+00 1.5175e+01 1.8626e+01 1.4779e+01 1.7071e+01 1.7459e+01 1.5625e+01
20 -5.5182e+00 -8.9273e+00 -8.5232e+00 -9.3409e+00 -9.7233e+00 -9.3081e+00 1.8814e+01 1.8958e+01 1.4814e+01 1.7300e+01 1.8323e+01 1.4370e+01
21 -8.7939e+00 -7.0797e+00 -9.7476e+00 -5.5831e+00 -9.5659e+00 -9.7424e+00 1.8777e+01 1.9463e+01 1.7062e+01 1.8699e+01 1.8751e+01 1.7124e+01
22 -4.9759e+00 -5.9185e+00 -6.6102e+00 -9.1280e+00 -9.4805e+00 -9.7149e+00 1.5382e+01 1.8986e+01 1.7311e+01 1.7360e+01 1.4722e+01 1.6653e+01
23 -8.8747e+00 -9.4769e+00 -6.1278e+00 -9.2513e+00 -9.2378e+00 -9.7294e+00 1.6424e+01 1.7543e+01 1.3688e+01 1.7216e+01 1.4560e+01 1.5294e+01
24 -9.0808e+00 -7.2262e+00 -3.1301e+00 -8.5683e+00 -9.4610e+00 -9.6612e+00 1.9241e+01 1.7379e+01 1.8627e+01 1.3758e+01 1.7309e+01 1.4287e+01
25 -7.5214e+00 -6.8753e+00 -9.6384e+00 -8.3942e+00 -9.4961e+00 -8.1712e+00 1.8607e+01 1.8933e+01 1.7741e+01 1.3469e+01 1.9333e+01 1.3475e+01
26 -9.7481e+00 -8.5057e+00 -7.3787e+00 -9.7407e+00 -9.7509e+00 -9.1958e+00 1.6649e+01 1.8243e+01 1.4340e+01 1.7746e+01 1.6003e+01 1.9211e+01
27 -9.0820e+00 -6.1664e+00 -4.7220e+00 -8.0115e+00 -9.6117e+00 -8.2856e+00 1.9361e+01 1.8544e+01 1.5403e+01 1.6743e+01 1.3935e+01 1.8613e+01
28 -6.6942e+00 -8.4084e+00 -7.7084e+00 -8.5583e+00 -9.7489e+00 -6.2819e+00 1.9007e+01 1.8674e+01 1.4682e+01 1.6744e+01 1.5734e+01 1.4082e+01
29 -8.1540e+00 -8.5195e+00 -3.4618e+00 -9.3071e+00 -8.5643e+00 -7.7597e+00 1.7174e+01 1.8781e+01 1.5237e+01 9.7461e+00 1.7052e+01 1.8976e+01
30 -7.4254e+00 -8.8247e+00 -9.5168e+00 -9.7255e+00 -9.7391e+00 -7.6178e+00 1.8444e+01 1.8979e+01 1.2875e+01 1.9142e+01 1.6702e+01 1.7263e+01
31 -7.2544e+00 -7.5992e+00 -9.6077e+00 -9.6065e+00 -8.2478e+00 -6.4663e+00 1.8611e+01 1.7198e+01 1.6062e+01 1.9084e+01 1.7130e+01 1.8437e+01
32 -6.3800e+00 -7.4642e+00 -9.7507e+00 -5.9914e+00 -8.9640e+00 -9.4785e+00 1.8279e+01 1.8389e+01 1.5426e+01 1.8374e+01 1.5324e+01 1.8349e+01
33 -7.7486e+00 -9.7512e+00 -9.4428e+00 -6.7268e+00 -9.4767e+00 -9.7518e+00 1.3055e+01 1.5280e+01 1.6786e+01 1.7329e+01 1.5179e+01 1.7576e+01
34 -7.5549e+00 -5.2354e+00 -5.9307e+00 -9.7445e+00 -8.7484e+00 -7.7127e+00 1.6358e+01 1.8160e+01 1.8277e+01 1.5095e+01 1.1759e+01 1.6058e+01
35 -4.1600e+00 -6.5587e+00 -6.7646e+00 -9.7529e+00 -9.0941e+00 -9.3694e+00 1.8386e+01 1.5602e+01 1.7202e+01 1.7654e+01 1.4029e+01 1.2458e+01
36 -5.1246e+00 -7.7821e+00 -7.7054e+00 -9.7538e+00 -9.3992e+00 -9.4845e+00 1.8074e+01 1.8245e+01 1.6765e+01 1.6139e+01 1.7958e+01 1.8015e+01
37 -7.5401e+00 -9.7096e+00 -9.6708e+00 -5.9270e+00 -7.6776e+00 -9.2340e+00 1.8092e+01 1.7670e+01 1.3260e+01 1.7535e+01 1.7534e+01 1.8697e+01
38 -6.8013e+00 -7.1207e+00 -8.6603e+00 -7.7119e+00 -7.9198e+00 -6.3526e+00 1.7906e+01 1.8780e+01 1.6060e+01 1.4971e+01 1.6176e+01 1.7418e+01
39 -7.9536e+00 -7.0808e+00 -8.5298e+00 -7.6635e+00 -7.4811e+00 -9.2876e+00 1.8119e+01 1.8379e+01 1.6380e+01 1.6948e+01 1.8165e+01 1.7170e+01
40 -7.4948e+00 -2.8402e+00 -8.7900e+00 -9.1437e+00 -8.0464e+00 -9.7356e+00 1.9289e+01 1.8847e+01 1.5646e+01 1.4630e+01 1.7721e+01 1.6152e+01
41 -5.7568e+00 -8.3946e+00 -9.2262e+00 -7.2876e+00 -8.4385e+00 -9.1458e+00 1.8695e+01 1.8419e+01 1.8471e+01 1.5719e+01 1.7521e+01 1.9015e+01
42 -4.6042e+00 -5.1039e+00 -9.7224e+00 -6.3266e+00 -8.2656e+00 -7.2275e+00 1.8692e+01 1.7564e+01 1.6539e+01 1.5824e+01 1.6073e+01 1.6504e+01
43 -5.9472e+00 -7.0247e+00 -9.7425e+00 -6.4195e+00 -5.6078e+00 -9.4531e+00 1.6336e+01 1.5065e+01 1.3345e+01 1.5332e+01 1.6788e+01 1.9437e+01
44 -7.6305e+00 -7.6230e+00 -9.3749e+00 -8.9059e+00 -9.7547e+00 -9.2675e+00 1.9485e+01 1.5824e+01 1.5661e+01 1.8698e+01 1.6005e+01 1.5432e+01
45 -8.0919e+00 -7.9036e+00 -5.9547e+00 -9.3294e+00 -7.6269e+00 -9.6527e+00 1.9349e+01 1.7861e+01 1.1430e+01 1.2769e+01 1.3236e+01 1.8350e+01
46 -8.3760e+00 -9.7091e+00 -8.2561e+00 -9.4877e+00 -9.4331e+00 -7.3687e+00 1.9055e+01 1.6957e+01 1.8898e+01 1.5572e+01 1.6271e+01 1.8077e+01
47 -8.6784e+00 -1.5223e+00 -9.5255e+00 -8.6329e+00 -7.7660e+00 -9.6451e+00 1.9192e+01 1.8183e+01 1.2862e+01 1.8405e+01 1.7156e+01 1.7709e+01
48 -7.0027e+00 -7.3717e+00 -7.1557e+00 -6.3876e+00 -8.9521e+00 -9.5642e+00 1.8908e+01 1.9322e+01 1.8804e+01 1.6545e+01 1.8145e+01 1.9236e+01
49 -8.2338e+00 -9.2455e+00 -9.1951e+00 -8.8323e+00 -7.5403e+00 -9.5227e+00 1.7406e+01 1.1035e+01 1.4882e+01 1.4799e+01 1.5283e+01 7.0983e+00
50 -7.6800e+00 -5.1025e+00 -9.5108e+00 -9.7549e+00 -9.7388e+00 -9.5282e+00 1.5240e+01 1.9468e+01 1.0508e+01 1.8444e+01 1.9286e+01 1.9312e+01
51 -9.0645e+00 -8.6758e+00 -8.9910e+00 -8.5690e+00 -8.4312e+00 -8.2309e+00 1.6036e+01 1.8220e+01 1.6100e+01 1.8558e+01 1.7069e+01 1.3886e+01
52 -7.0136e+00 -3.2745e+00 -5.5232e+00 -9.6287e+00 -9.5595e+00 -6.2226e+00 1.8200e+01 1.8844e+01 1.3678e+01 1.7969e+01 1.7669e+01 1.6983e+01
53 -4.1762e+00 -3.7184e+00 -9.4135e+00 -8.0021e+00 -8.7128e+00 -8.2212e+00 1.7636e+01 1.8620e+01 1.4741e+01 1.6822e+01 1.6710e+01 1.4108e+01
54 -6.9998e+00 -7.1248e+00 -9.4414e+00 -8.3711e+00 -7.6869e+00 -9.1430e+00 1.8402e+01 1.6198e+01 1.5683e+01 1.7919e+01 1.8348e+01 1.8063e+01
55 -6.1406e+00 -7.5127e+00 -8.3628e+00 -9.5802e+00 -9.7097e+00 -8.0261e+00 1.7148e+01 1.5969e+01 1.5494e+01 1.2422e+01 1.8322e+01 1.4997e+01
