0 -6.3159 -7.2249 -9.5325 -5.1072 -8.471 18.383 16.906 17.781 19.173
1 -4.5588 -8.9828 -7.3276 -8.2872 -9.4899 13.661 16.963 18.844 19.302
2 0.94735 -9.2542 -9.366 -5.2793 -9.6313 16.118 17.79 18.91 17.727
3 -3.3141 -9.4337 -9.2053 -8.5087 -8.3669 18.796 18.704 16.833 15.614
4 -8.064 -8.4618 -7.3261 -8.1076 -7.6861 12.976 17.194 9.6749 10.279
5 -6.6712 -9.3488 -9.273 -9.5488 -8.4667 17.614 13.959 14.589 18.648
6 -3.9241 -9.6392 -9.1768 -9.0938 -9.2895 18.657 17.141 17.028 18.512
7 -8.4838 -9.1447 -6.6311 -7.2203 -9.6757 15.982 18.935 13.652 16.829
8 -7.3255 -9.1342 -9.7213 -9.7452 -8.9386 13.99 16.82 14.345 17.773
9 -8.1199 -7.6404 -9.2172 -9.4203 -7.4666 16.744 19.51 15.068 16.238
10 -1.2217 -9.1413 -9.3978 -7.617 -7.5498 15.395 18.71 16.916 18.198
11 -7.6567 -7.8766 -9.0496 -7.2545 -7.8091 12.978 16.576 14.399 12.878
