0	6.3175	10.3111	7.6029	-9.147	-0.3227	-17.4246	22.2084	17.8565	12.5306	16.7532	14.1932	12.1773	10.8571	16.4353	20.8205	14.7059
1	6.2216	8.2266	7.982	-5.5814	-0.1099	-22.2196	22.3559	14.4922	12.9987	17.2292	14.7669	15.4662	12.4734	16.6089	20.0395	16.1558
2	9.7701	14.5929	-2.5587	-5.0912	0.2734	-19.8819	24.5191	12.2121	11.5681	15.6195	9.6146	15.4536	13.9001	15.6179	22.0946	12.278
3	4.7792	1.2579	6.6917	3.1587	6.8534	-24.195	18.5229	13.7471	20.5922	23.4947	18.5267	14.6501	19.1435	22.5255	25.1539	16.0031
4	12.6074	10.6186	-3.1217	1.1217	0.7341	-21.1969	21.5639	11.1835	13.0552	18.5697	13.6465	14.2207	16.2102	18.2158	22.3808	13.0161
5	11.3819	10.3237	2.9528	-6.9416	3.7963	-20.0975	20.5271	9.4282	14.6786	19.6793	14.507	12.1658	12.9073	18.8212	23.9528	15.071
6	17.3678	14.8938	-12.3179	-2.0384	-4.0993	-26.4209	20.7719	14.1402	9.0477	11.8298	5.0931	14.6957	14.0407	13.6834	22.1372	7.2462
7	8.6392	13.655	-2.1553	0.3679	2.9273	-14.3283	19.0441	11.1355	13.9391	17.9464	12.0801	7.3407	15.051	17.2984	22.2989	9.9445
8	3.3938	10.4841	6.0723	3.9359	7.1014	-13.246	22.7085	17.3682	16.1784	17.1448	14.4135	13.5396	17.3324	16.9833	21.0361	14.6156
9	10.0845	6.7341	-5.0754	-0.2348	7.3473	-22.9499	16.6622	9.7253	16.6782	20.5805	13.4332	10.9446	16.5359	20.3311	25.0484	12.1693
10	15.2369	13.3487	-1.0984	-9.057	-1.615	-16.8506	18.8679	7.8503	8.9727	14.5027	10.3625	10.3878	9.3654	13.7697	18.619	11.413
11	9.8038	14.1277	0.4555	-9.0806	-0.3134	-20.5527	23.6082	15.3531	13.0967	16.9774	9.8081	13.1424	12.753	16.6157	23.0158	11.2675
12	12.1653	8.4682	0.0817	-3.0924	3.8254	-18.3179	21.6422	11.8376	13.8635	17.7016	11.6763	13.075	14.7766	17.2907	22.5187	13.0039
13	9.79	11.669	-4.6536	4.8352	5.2665	-17.9875	21.9597	13.097	15.6177	16.821	11.1244	12.3121	18.7435	18.9549	23.5954	9.5792
14	7.7302	9.9735	-4.483	1.4686	-4.9591	-19.1831	21.7635	13.6827	11.1813	14.4438	12.1803	15.5905	14.6492	15.6418	19.5134	10.4538
15	8.4961	14.0415	-1.1054	-0.8696	2.6247	-17.9277	21.7382	11.8834	13.4952	15.0764	8.1495	12.8485	15.5981	14.4265	20.5299	9.6151
16	12.1186	9.4576	-8.2567	-0.4132	2.7152	-21.5455	18.4703	9.5468	11.9249	14.9875	6.1093	11.7889	15.2785	12.5419	20.2683	7.4864
17	5.8072	7.2878	-4.6294	4.1833	5.3089	-18.839	19.7495	12.5876	16.8583	20.0219	13.5707	12.1402	18.5995	19.9065	23.7398	10.8354
18	7.8159	10.1667	-6.2248	5.5796	6.9316	-21.5856	19.8941	12.2144	16.5552	19.602	13.0629	12.3062	19.316	19.5535	24.3481	10.3064
19	11.3354	6.908	-5.4122	1.9964	-24.5804	-23.2453	21.0429	14.8634	15.5355	17.7154	14.141	16.247	17.6837	20.4556	23.9527	12.727
